Frame,X,Y,Z
0,0.06,2.95,-0.04
1,-0.92,2.37,-0.05
2,-0.71,1.78,-0.06
3,-0.48,1.95,-0.06
4,-0.6,1.91,-0.07
5,-1.0,1.98,-0.06
6,-0.56,2.06,-0.06
7,-0.63,2.12,-0.05
8,-0.39,2.3,-0.06
9,-0.1,2.38,-0.06
10,-0.75,2.31,-0.07
11,-0.13,2.67,-0.07
12,-0.2,2.59,-0.06
13,-0.24,2.71,-0.06
14,-0.98,2.83,-0.05
15,-0.58,2.52,-0.06
16,-0.87,2.61,-0.06
17,-0.69,2.64,-0.05
18,-0.73,3.01,-0.06
19,-0.92,2.7,-0.04
20,-0.89,3.05,-0.06
21,-0.66,3.06,-0.07
22,-0.91,2.95,-0.06
23,-1.44,3.06,-0.08
24,-0.77,3.11,-0.06
25,-1.24,3.44,-0.06
26,-1.3,2.94,-0.07
27,-1.02,3.52,-0.06
28,-1.0,2.97,-0.05
29,-1.24,3.17,-0.07
30,-1.0,2.69,-0.07
31,-1.5,3.31,-0.1
32,-1.08,2.92,-0.07
33,-1.74,2.94,-0.08
34,-1.43,3.05,-0.09
35,-1.77,3.2,-0.1
36,-1.16,2.99,-0.1
37,-1.54,2.64,-0.09
38,-2.0,2.98,-0.11
39,-1.97,2.88,-0.1
40,-2.29,3.06,-0.1
41,-1.93,3.07,-0.11
42,-2.02,3.14,-0.11
43,-1.79,3.06,-0.1
44,-1.75,2.9,-0.11
45,-1.75,2.88,-0.11
46,-1.52,2.95,-0.11
47,-1.84,2.97,-0.11
48,-0.7,2.94,-0.11
49,-1.1,2.54,-0.13
50,-1.26,2.63,-0.13
51,-1.18,2.76,-0.12
52,-1.23,2.67,-0.12
53,-1.02,2.96,-0.12
54,-0.65,3.02,-0.1
55,-0.07,3.04,-0.12
56,-0.17,3.05,-0.11
57,0.28,3.11,-0.11
58,0.14,3.28,-0.1
59,-0.3,3.26,-0.12
60,-0.09,3.01,-0.12
61,-0.25,2.98,-0.12
62,-0.64,3.17,-0.11
63,-0.14,3.06,-0.1
64,-0.24,2.99,-0.11
65,-0.1,3.2,-0.1
66,-0.06,3.31,-0.1
67,0.13,3.62,-0.1
68,-0.5,3.65,-0.07
69,-0.3,3.72,-0.09
70,-0.34,3.57,-0.08
71,-0.38,3.74,-0.08
72,-0.25,3.85,-0.07
73,-0.53,3.21,-0.09
74,-0.85,3.55,-0.1
75,-1.17,2.76,-0.09
76,-1.58,3.21,-0.09
77,-2.03,3.23,-0.06
78,-1.97,3.69,-0.08
79,-2.65,4.18,-0.08
80,-2.59,4.81,-0.08
81,-2.87,5.06,-0.08
82,-3.03,4.86,-0.06
83,-2.78,4.82,-0.08
84,-2.77,4.71,-0.08
85,-2.02,4.68,-0.08
86,-2.76,4.52,-0.05
87,-3.07,4.02,-0.02
88,-2.79,3.32,-0.04
89,-2.62,2.61,-0.02
90,-1.97,2.15,-0.01
91,-1.46,1.56,-0.02
92,-1.01,1.51,-0.02
93,-1.92,1.18,0.02
94,-1.74,0.96,-0.0
95,-1.42,1.52,0.01
96,-0.94,2.1,-0.0
97,-1.22,2.19,0.01
98,-0.56,1.88,-0.02
99,-0.61,1.99,-0.02
100,0.09,2.19,-0.02
101,0.72,2.14,-0.05
102,0.85,2.51,-0.05
103,0.43,2.53,-0.06
104,0.77,2.76,-0.07
105,0.44,2.69,-0.07
106,0.67,2.85,-0.07
107,0.92,2.74,-0.1
108,1.33,3.0,-0.08
109,1.79,3.13,-0.1
110,1.42,2.95,-0.1
111,2.24,2.69,-0.13
112,1.64,3.04,-0.14
113,1.51,2.48,-0.14
114,1.36,2.48,-0.12
115,0.71,2.55,-0.13
116,0.71,3.02,-0.12
117,0.33,2.76,-0.14
118,0.26,3.19,-0.15
119,0.5,3.38,-0.14
120,0.13,3.29,-0.13
121,0.78,3.35,-0.14
122,1.02,3.67,-0.14
123,0.83,3.42,-0.13
124,0.49,3.43,-0.15
125,0.85,4.33,-0.15
126,0.24,5.08,-0.15
127,0.64,5.13,-0.14
128,0.83,5.16,-0.15
129,0.67,4.92,-0.14
130,0.6,4.64,-0.16
131,0.79,4.46,-0.13
132,0.54,4.46,-0.13
133,0.64,4.43,-0.12
134,0.74,4.59,-0.12
135,0.62,4.5,-0.12
136,0.89,4.41,-0.11
137,0.61,4.45,-0.11
138,0.74,4.65,-0.12
139,0.25,4.59,-0.1
140,0.26,4.82,-0.1
141,-0.08,4.48,-0.09
142,-0.05,4.16,-0.08
143,0.14,3.51,-0.1
144,-0.35,3.34,-0.07
145,-0.16,3.4,-0.1
146,-0.4,3.19,-0.1
147,-0.04,3.65,-0.1
148,0.02,4.15,-0.1
149,-0.38,3.78,-0.1
150,0.07,4.33,-0.11
151,-0.07,4.41,-0.11
152,-0.23,4.21,-0.1
153,-0.64,4.3,-0.11
154,-0.84,4.32,-0.12
155,-0.61,4.4,-0.11
156,-0.67,4.37,-0.11
157,-0.6,4.34,-0.13
158,-0.66,4.22,-0.13
159,-0.71,4.06,-0.11
160,-0.55,4.09,-0.12
161,-0.54,4.23,-0.11
162,-0.88,4.14,-0.12
163,-0.74,4.45,-0.11
164,-0.73,4.35,-0.11
165,-0.82,4.37,-0.11
166,-0.94,4.5,-0.13
167,-0.57,4.14,-0.12
168,-0.7,3.89,-0.11
169,-0.67,3.95,-0.12
170,-0.14,4.13,-0.13
171,-0.33,3.93,-0.13
172,0.0,3.69,-0.13
173,-0.65,3.72,-0.11
174,0.08,3.88,-0.12
175,0.12,3.88,-0.13
176,0.46,4.22,-0.13
177,0.11,3.99,-0.14
178,0.27,3.26,-0.13
179,0.49,3.72,-0.1
180,0.96,3.73,-0.11
181,1.04,3.83,-0.11
182,1.2,3.75,-0.12
183,1.29,3.75,-0.11
184,0.87,3.71,-0.12
185,1.08,3.74,-0.12
186,1.08,3.71,-0.13
187,1.04,3.85,-0.12
188,1.39,3.77,-0.13
189,1.36,4.17,-0.16
190,1.28,3.56,-0.15
191,1.55,3.53,-0.13
192,1.45,3.81,-0.13
193,1.81,4.08,-0.13
194,1.63,3.77,-0.15
195,1.07,4.01,-0.11
196,1.45,3.13,-0.11
197,1.32,3.19,-0.11
198,0.56,2.56,-0.08
199,1.24,2.6,-0.09
200,0.4,1.83,-0.08
201,-0.34,0.82,-0.04
202,-0.52,-1.11,-0.02
203,-2.85,-1.63,0.0
204,-2.31,-1.55,-0.0
205,-2.43,-1.88,0.02
206,-2.98,-1.7,0.02
207,-2.84,-1.92,0.02
208,-3.71,-1.69,0.02
209,-3.3,-1.94,0.02
210,-4.07,-1.2,0.04
211,-3.33,-1.48,0.04
212,-3.43,-1.42,0.04
213,-4.01,-1.38,0.05
214,-3.4,-1.23,0.05
215,-3.63,-1.35,0.05
216,-3.04,-1.36,0.05
217,-3.16,-1.52,0.05
218,-3.79,-1.47,0.06
219,-3.89,-1.91,0.06
220,-4.44,-1.78,0.07
221,-4.78,-1.81,0.08
222,-4.41,-2.06,0.1
223,-4.27,-1.88,0.1
224,-4.51,-2.05,0.09
225,-4.6,-1.93,0.11
226,-5.0,-1.86,0.11
227,-4.9,-2.04,0.12
228,-4.5,-1.61,0.1
229,-4.74,-1.79,0.1
230,-4.28,-1.47,0.09
231,-4.38,-0.81,0.09
232,-3.72,-0.44,0.06
233,-3.83,-0.23,0.07
234,-2.82,1.51,0.07
235,-2.92,1.93,0.06
236,-2.48,2.31,0.05
237,-2.72,2.53,0.04
238,-2.27,2.62,0.03
239,-2.4,2.85,0.02
240,-2.26,2.44,0.01
241,-2.78,2.83,0.02
242,-2.3,2.95,-0.03
243,-2.38,3.27,-0.01
244,-2.49,3.31,-0.0
245,-1.72,3.44,-0.01
246,-1.73,3.32,-0.02
247,-1.82,3.39,-0.02
248,-1.84,3.31,-0.03
249,-2.38,3.44,-0.04
250,-2.11,3.48,-0.05
251,-2.05,3.39,-0.08
252,-2.11,3.53,-0.05
253,-1.19,3.54,-0.07
254,-1.15,3.36,-0.06
255,-0.78,3.83,-0.07
256,-0.74,3.98,-0.07
257,-1.01,3.76,-0.07
258,-0.38,3.61,-0.08
259,-0.37,3.45,-0.07
